Begin
Michael Abrash
Scott Adams (game designer)
Tarn Adams
Leonard Adleman
Alfred Aho
Andrei Alexandrescu
Paul Allen
Eric Allman
Marc Andreessen
Jeremy Ashkenas
Bill Atkinson
Roland Carl Backhouse
John Backus
Lars Bak (computer programmer)
Richard Bartle
Friedrich L. Bauer
Kent Beck
Donald Becker
Brian Behlendorf
Doug Bell
Fabrice Bellard
Tim Berners-Lee
Daniel J. Bernstein
Eric Bina
Marc Blank
Joshua Bloch
Jonathan Blow
Susan G. Bond
Grady Booch
Bert Bos
Stephen R. Bourne
David Bradley (engineer)
Andrew Braybrook
Lawrence M. Breed
Jack Elton Bresenham
Dan Bricklin
Walter Bright
Sergey Brin
Per Brinch Hansen
Richard Brodie (programmer)
Andries Brouwer
Danielle Bunten Berry
Dries Buytaert
Steve Capps
John Carmack
Vint Cerf
Ward Christensen
Edgar F. Codd
Bram Cohen
Alain Colmerauer
Richard W. Conway
Alan Cooper
Mike Cowlishaw
Alan Cox (computer programmer)
Brad Cox
Mark Crispin
William Crowther (programmer)
Ward Cunningham
Dave Cutler
Ole-Johan Dahl
Ryan Dahl
James Duncan Davidson
Terry A. Davis
mw-redirect
L. Peter Deutsch
Robert Dewar
Edsger W. Dijkstra
mw-redirect
Jack Dorsey
mw-redirect
Adam Dunkels
Les Earnest
Alan Edelman
Brendan Eich
Larry Ellison
mw-redirect
Marc Ewing
Scott Fahlman
Dan Farmer
Steve Fawkner
Stuart Feldman
David Filo
Brad Fitzpatrick
Andrew Fluegelman
Mahmoud Samir Fayed
Martin Fowler (software engineer)
Brian Fox (computer programmer)
Elon Gasper
Bill Gates
Nick Gerakines
Jim Gettys
Steve Gibson (computer programmer)
John Gilmore (activist)
Adele Goldberg (computer scientist)
Robert Griesemer
Ryan C. Gordon
James Gosling
Bill Gosper
Paul Graham (programmer)
John Graham-Cumming
David Gries
Ralph Griswold
Richard Greenblatt (programmer)
Neil J. Gunther
Scott Guthrie
Jürg Gutknecht
Andi Gutmans
Michael Guy
Daniel Ha
Nico Habermann
Jim Hall (computer programmer)
mw-redirect
Eric Hehner
David Heinemeier Hansson
Rebecca Heineman
Gernot Heiser
Anders Hejlsberg
Ted Henter
Andy Hertzfeld
D. Richard Hipp
Tony Hoare
Louis Hodes
Grace Hopper
David A. Huffman
Roger Hui
Dave Hyatt
P. J. Hyett
Miguel de Icaza
Roberto Ierusalimschy
Dan Ingalls
Geir Ivarsøy
Kenneth E. Iverson
Toru Iwatani
Bo Jangeborg
mw-redirect
Stephen C. Johnson
Lynne Jolitz
William Jolitz
Bill Joy
mw-redirect
Poul-Henning Kamp
Mitch Kapor
Phil Katz
Ted Kaehler
Alan Kay
mw-redirect
Stan Kelly-Bootle
John G. Kemeny
Brian Kernighan
Gary Kildall
Tom Knight (scientist)
Jim Knopf
mw-redirect
Andrew Koenig (programmer)
Cornelis H. A. Koster
mw-redirect
Leslie Lamport
Butler Lampson
Peter Landin
Tom Lane (computer scientist)
Sam Lantinga
Richard H. Lathwell
Chris Lattner
mw-redirect
Rasmus Lerdorf
mw-redirect
Gordon Letwin
Jochen Liedtke
Charles H. Lindsey
Håkon Wium Lie
Yanhong Annie Liu
Robert Love
Ada Lovelace
Al Lowe
David Luckham
Hans Peter Luhn
mw-redirect
Robert C. Martin
John Mashey
Yukihiro Matsumoto
John McCarthy (computer scientist)
Craig McClanahan
Daniel D. McCracken
